"Cold Storage Receipt","کولڈ اسٹوریج رسید"
"Cold Storage Dispatch","کولڈ اسٹوریج ڈسپپیچ"
"Cold Storage Receipt Item","کولڈ اسٹوریج رسید کی شے"
"Cold Storage Dispatch Item","کولڈ اسٹوریج ڈسپپیچ کی شے"
"Customer","گاہک"
"Warehouse","گودام"
"Item","شے"
"Batch No","بیچ نمبر"
"Number of Bags","بوروں کی تعداد"
"Received Qty","وصول شدہ مقدار"
"Dispatched Qty","ڈسپپیچ شدہ مقدار"
"Balance Qty","بقیہ مقدار"
"Weight","وزن"
"Rate","شرح"
"Amount","رقم"
"Status","حالت"
"Date","تاریخ"
"Receipt Date","رسید کی تاریخ"
"Dispatch Date","ڈسپپیچ کی تاریخ"
"Driver Name","ڈرائیور کا نام"
"Vehicle No","گاڑی کا نمبر"
"Driver Contact","ڈرائیور کا رابطہ"
"Gate Pass No","گیٹ پاس نمبر"
"Bags","بورے"
"Welcome","خوش آمدید"
"Current Stock","موجودہ اسٹاک"
"Total Inward","کل آمد"
"Total Outward","کل برآمد"
"Stock Trends (Last 6 Months)","اسٹاک کے رجحانات (گزشتہ 6 ماہ)"
"Stock by Batch No","بیچ نمبر کے لحاظ سے اسٹاک"
"Recent Inward","حالیہ آمد"
"Recent Outward","حالیہ برآمد"
"Download Excel","ایکسل ڈاؤن لوڈ کریں"
"Download PDF","پی ڈی ایف ڈاؤن لوڈ کریں"
"TOTAL","کل"
"No recent receipts found.","کوئی حالیہ رسیدیں نہیں ملیں۔"
"No recent dispatches found.","کوئی حالیہ ڈسپپیچ نہیں ملے۔"
"English","انگریزی"
"Urdu","اردو"
"Select Customer","گاہک منتخب کریں"
"Manager View","مینیجر ویو"
"Viewing","دیکھ رہے ہیں"
"No data available","ڈیٹا دستیاب نہیں"
"No trend data available","رجحان ڈیٹا دستیاب نہیں"
"Days in Store","اسٹور میں دن"
"Stock_Statement","اسٹاک_اسٹیٹمنٹ"
"Period","مدت"
"Generated","تیار کردہ"
"Inward","آمد"
"Outward","برآمد"
"Bill","بل"
"Receipt","رسید"
"Item Group","آئٹم گروپ"
"Stock Statement","اسٹاک اسٹیٹمنٹ"
"Customer Stock Statement","کسٹمر اسٹاک اسٹیٹمنٹ"
"This is a computer-generated statement. No signature required.","یہ کمپیوٹر سے تیار کردہ اسٹیٹمنٹ ہے۔ دستخط کی ضرورت نہیں۔"
"Generated by Cold Storage Management System By Umaish Solutions","کولڈ اسٹوریج مینجمنٹ سسٹم اور عمیش سلوشنز کی طرف سے تیار"
"Terms & Conditions","شرائط و ضوابط"
"Goods are stored at owner's sole risk and responsibility.","سامان مالک کے اپنے خطرے اور ذمہ داری پر رکھا جاتا ہے۔"
"Please produce this original receipt at the time of delivery.","براہ کرم ترسیل کے وقت یہ اصل رسید پیش کریں۔"
"Delivery is subject to realization of all pending dues.","ترسیل تمام واجب الادا واجبات کی وصولی سے مشروط ہے۔"
"Received the above mentioned goods in good condition.","مذکورہ بالا سامان اچھی حالت میں موصول ہوا۔"
"This is a computer generated document.","یہ کمپیوٹر سے تیار کردہ دستاویز ہے۔"
"Receipt No","رسید نمبر"
"Dispatch No","ڈسپپیچ نمبر"
"TOTAL BAGS","کل بورے"
"Linked","وابستہ"
"Here is your stock overview at a glance.","یہ ہے آپ کے اسٹاک کا ایک نظر میں جائزہ۔"
"to","تا"
"Summary","خلاصہ"
"Total Received","کل وصول"
"Total Dispatched","کل روانگی"
"Current Balance","موجودہ بیلنس"
